2017-04-07 08:19:48.193 INFO  com.html.service.HtmlService - action--->login;jsessionid=2247DE90775DF95F620B6BACF0703A93
2017-04-07 08:19:48.204 INFO  com.html.service.HtmlService - lt--->_c61E6BA86-54AE-702F-11CD-9B7CE5842D7E_k655E94F0-7112-5F8B-3386-2471186D2B8D
2017-04-07 08:19:48.205 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:19:48.219 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:19:48.224 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:19:49.528 INFO  com.html.service.Tess4jCode - 识别图片的结果：[MCY4]
2017-04-07 08:19:49.672 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[MCY4],JSESSIONID的值:[2247DE90775DF95F620B6BACF0703A93]
2017-04-07 08:19:56.472 INFO  com.html.service.HtmlService - JSESSIONID--->ACC70FBC71AA7A7F961615585E9B209B
2017-04-07 08:19:57.079 INFO  com.html.service.HtmlService - action--->login;jsessionid=ACC70FBC71AA7A7F961615585E9B209B
2017-04-07 08:19:57.090 INFO  com.html.service.HtmlService - lt--->_c99EC577C-199F-099B-06C5-E18F01203C84_kE67A8B7D-E424-9CF0-FEBF-2D5315063A24
2017-04-07 08:19:57.091 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:19:57.106 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:19:57.111 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:19:58.417 INFO  com.html.service.Tess4jCode - 识别图片的结果：[WZVB]
2017-04-07 08:19:58.571 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[WZVB],JSESSIONID的值:[ACC70FBC71AA7A7F961615585E9B209B]
2017-04-07 08:20:09.273 INFO  com.html.service.HtmlService - JSESSIONID--->324EDBEDE2A604A8E2663A0DEEAB1D91
2017-04-07 08:20:09.862 INFO  com.html.service.HtmlService - action--->login;jsessionid=324EDBEDE2A604A8E2663A0DEEAB1D91
2017-04-07 08:20:09.873 INFO  com.html.service.HtmlService - lt--->_c8BAE86C7-436C-66C2-B125-5E2B503F580A_k0E7C7DA6-68B4-9B48-10D7-7B56A4D5AC49
2017-04-07 08:20:09.874 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:20:09.887 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:20:09.892 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:20:11.421 INFO  com.html.service.Tess4jCode - 识别图片的结果：[3GSB]
2017-04-07 08:20:11.603 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[3GSB],JSESSIONID的值:[324EDBEDE2A604A8E2663A0DEEAB1D91]
2017-04-07 08:20:24.103 INFO  com.html.service.HtmlService - JSESSIONID--->DAAE60B9BD0F15EAEC601873250D864E
2017-04-07 08:20:24.663 INFO  com.html.service.HtmlService - action--->login;jsessionid=DAAE60B9BD0F15EAEC601873250D864E
2017-04-07 08:20:24.673 INFO  com.html.service.HtmlService - lt--->_c936C71D1-2EF6-F623-C98E-B3BADDB01AC7_k69639259-EDE6-2355-AB6F-BB4D029E78B4
2017-04-07 08:20:24.674 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:20:24.693 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:20:24.699 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:20:26.389 INFO  com.html.service.Tess4jCode - 识别图片的结果：[ZFXD]
2017-04-07 08:20:26.560 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[ZFXD],JSESSIONID的值:[DAAE60B9BD0F15EAEC601873250D864E]
2017-04-07 08:20:39.341 INFO  com.html.service.HtmlService - JSESSIONID--->EF0173FD47F6C7833BA12C3570FDD949
2017-04-07 08:20:39.649 INFO  com.html.service.HtmlService - action--->login;jsessionid=EF0173FD47F6C7833BA12C3570FDD949
2017-04-07 08:20:39.660 INFO  com.html.service.HtmlService - lt--->_cE18E9DE3-9050-434A-BA92-6B23B94DCE0E_kBAE75C69-4814-4FC0-036E-945BEAC7309D
2017-04-07 08:20:39.660 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:20:39.681 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:20:39.685 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:20:41.406 INFO  com.html.service.Tess4jCode - 识别图片的结果：[3EU2]
2017-04-07 08:20:41.556 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[3EU2],JSESSIONID的值:[EF0173FD47F6C7833BA12C3570FDD949]
2017-04-07 08:20:48.163 INFO  com.html.service.HtmlService - JSESSIONID--->C3B603DB60F26AEE9842E50F71F86A61
2017-04-07 08:20:48.603 INFO  com.html.service.HtmlService - action--->login;jsessionid=C3B603DB60F26AEE9842E50F71F86A61
2017-04-07 08:20:48.614 INFO  com.html.service.HtmlService - lt--->_c26B66136-1015-2A98-D83E-6F926925A02E_k49E68457-7665-0C77-0FD7-19B525DD2055
2017-04-07 08:20:48.615 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:20:48.630 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:20:48.635 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:20:49.961 INFO  com.html.service.Tess4jCode - 识别图片的结果：[MMYV]
2017-04-07 08:20:50.113 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[MMYV],JSESSIONID的值:[C3B603DB60F26AEE9842E50F71F86A61]
2017-04-07 08:21:32.212 INFO  com.html.service.HtmlService - JSESSIONID--->6496C57876103923D8133C91ED85E687
2017-04-07 08:21:32.858 INFO  com.html.service.HtmlService - action--->login;jsessionid=6496C57876103923D8133C91ED85E687
2017-04-07 08:21:32.876 INFO  com.html.service.HtmlService - lt--->_c215EE32F-3371-3435-8DA1-4F8AAA469401_k9B41ADD6-5286-3F7F-ADBA-9B4A62FA6709
2017-04-07 08:21:32.877 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:21:32.889 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:21:32.894 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:21:34.126 INFO  com.html.service.Tess4jCode - 识别图片的结果：[VKca]
2017-04-07 08:21:34.267 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:false}],发送的code:[VKca],JSESSIONID的值:[6496C57876103923D8133C91ED85E687]
2017-04-07 08:21:39.894 INFO  com.html.service.HtmlService - JSESSIONID--->D0B240A13BFC915FFE2F5AC0B2E60957
2017-04-07 08:21:40.354 INFO  com.html.service.HtmlService - action--->login;jsessionid=D0B240A13BFC915FFE2F5AC0B2E60957
2017-04-07 08:21:40.366 INFO  com.html.service.HtmlService - lt--->_c392580DC-631C-1D3D-0349-071088358EA1_k5A2891DD-CD1D-65B9-4217-9BB58C194F1C
2017-04-07 08:21:40.367 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:21:40.380 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:21:40.384 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:21:41.747 INFO  com.html.service.Tess4jCode - 识别图片的结果：[4WTA]
2017-04-07 08:21:41.883 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:true}],发送的code:[4WTA],JSESSIONID的值:[D0B240A13BFC915FFE2F5AC0B2E60957]
2017-04-07 08:21:41.903 INFO  com.html.service.HtmlService - JSESSIONID:[D0B240A13BFC915FFE2F5AC0B2E60957],提交表单后的结果:[http://pmo.ultrapower.com.cn/ucas/login;JSESSIONID=D0B240A13BFC915FFE2F5AC0B2E60957;jsessionid=76A3ACF60A51B31957965AE7DDF00A45?t=http%3A%2F%2Feoms.ultrapower.com.cn%2Fultrapmo%2Fportal%2Findex_new.action],返回的状态码:[200]
2017-04-07 08:25:19.016 INFO  com.html.service.HtmlService - JSESSIONID--->44BD5DB696882DF9FED7F9F75036045F
2017-04-07 08:25:19.471 INFO  com.html.service.HtmlService - action--->login;jsessionid=44BD5DB696882DF9FED7F9F75036045F
2017-04-07 08:25:19.483 INFO  com.html.service.HtmlService - lt--->_c0717E711-A4A8-7536-0D76-67C5B1FEB107_kDAAE460F-957E-39C4-12D0-61B5D0ADB772
2017-04-07 08:25:19.484 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 08:25:19.496 INFO  com.html.service.HtmlService - 图片生成成功.
2017-04-07 08:25:19.501 INFO  com.html.service.Tess4jCode - 识别的验证码图片位置：[H:\workspace(3)\Regular\checkCode.jpg]
2017-04-07 08:25:20.948 INFO  com.html.service.Tess4jCode - 识别图片的结果：[6E36]
2017-04-07 08:25:21.189 INFO  com.html.service.HtmlService - 图片验证的结果：[{result:true}],发送的code:[6E36],JSESSIONID的值:[44BD5DB696882DF9FED7F9F75036045F]
2017-04-07 08:25:21.224 INFO  com.html.service.HtmlService - JSESSIONID:[44BD5DB696882DF9FED7F9F75036045F],提交表单后的结果:[http://pmo.ultrapower.com.cn/ucas/login;JSESSIONID=44BD5DB696882DF9FED7F9F75036045F;jsessionid=FF38DA532E1D0A905C9EA140CDAA4F34?t=http%3A%2F%2Feoms.ultrapower.com.cn%2Fultrapmo%2Fportal%2Findex_new.action],返回的状态码:[200]
2017-04-07 09:01:44.570 INFO  com.html.service.HtmlService - JSESSIONID--->2DF9A3B9CC4FB69DE4127B3547109775
2017-04-07 09:01:44.919 INFO  com.html.service.HtmlService - action--->login;jsessionid=2DF9A3B9CC4FB69DE4127B3547109775
2017-04-07 09:01:44.931 INFO  com.html.service.HtmlService - lt--->_c1F7D5A53-2239-7D80-9CA9-379B9F18DA17_kD3C762F5-CB7E-8B71-33A2-C27DE9CF83EE
2017-04-07 09:01:44.932 INFO  com.html.service.HtmlService - _eventId--->submit
2017-04-07 09:01:44.945 INFO  com.html.service.HtmlService - 图片生成成功.
